2026-07-19 19:55:15 INFO  com.example.demo.DemoApplication - this is a info message
2026-07-19 19:55:15 WARN  com.example.demo.DemoApplication - this is a warn message
2026-07-19 19:55:15 ERROR com.example.demo.DemoApplication - this is a error message
2026-07-19 19:55:16 INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.11 with PID 32388 (C:\Users\rocki\demo\build\classes\java\main started by rocki in C:\Users\rocki\demo)
2026-07-19 19:55:16 INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-19 19:55:16 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-07-19 19:55:16 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-07-19 19:55:16 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-19 19:55:16 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-07-19 19:55:16 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 477 ms
2026-07-19 19:55:16 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2026-07-19 19:55:16 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2026-07-19 19:55:16 INFO  com.example.demo.DemoApplication - Started DemoApplication in 0.977 seconds (process running for 1.309)
2026-07-19 20:03:20 INFO  com.example.demo.DemoApplication - this is a info message
2026-07-19 20:03:20 WARN  com.example.demo.DemoApplication - this is a warn message
2026-07-19 20:03:20 ERROR com.example.demo.DemoApplication - this is a error message
2026-07-19 20:03:20 INFO  com.example.demo.DemoApplication - Starting DemoApplication using Java 21.0.11 with PID 21996 (C:\Users\rocki\demo\build\classes\java\main started by rocki in C:\Users\rocki\demo)
2026-07-19 20:03:20 INFO  com.example.demo.DemoApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-19 20:03:20 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-19 20:03:20 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-19 20:03:20 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-19 20:03:20 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
2026-07-19 20:03:20 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 482 ms
2026-07-19 20:03:21 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-07-19 20:03:21 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
